paragraph,an1,an2,an3,an4
1,1,1,1,1
2,1,2,1,1
3,1,2,1,1
4,1,2,1,1
5,1,2,1,1
6,1,2,1,1
7,1,2,1,1
8,1,2,1,1
9,1,3,1,1
10,1,3,1,1
11,1,4,2,2
12,1,4,2,2
13,1,4,2,2
14,1,4,2,2
15,1,5,2,3
16,1,5,2,3
17,1,5,2,3
18,1,6,2,4
19,1,6,2,4
20,1,6,2,5
21,2,7,3,6
22,2,7,3,6
23,2,7,3,6
24,2,7,3,6
25,2,7,3,6
26,2,7,3,6
27,2,7,3,6
28,2,7,3,6
29,2,7,3,7
30,2,7,3,7
31,2,8,3,7
32,2,9,3,8
33,2,10,3,8
34,2,10,3,9
35,2,10,3,9
36,2,10,4,9
37,2,10,4,9
38,2,11,4,9
39,2,11,4,9
40,2,11,4,10
41,2,12,4,11
42,2,12,4,11
43,3,13,4,12
44,3,13,4,12
45,3,13,4,12
46,3,13,4,12
47,3,13,5,12
48,3,13,5,12
49,3,13,5,12
50,3,13,5,12
51,4,14,6,13
52,4,14,6,13
53,4,14,6,13
54,4,15,6,13
55,4,15,6,13
56,4,15,6,13
57,4,16,6,13
58,4,16,6,13
59,4,16,6,13
60,4,17,6,13
61,4,17,7,14
62,5,17,7,14
63,5,17,7,14
64,5,17,7,14
65,5,17,7,14
66,5,17,7,14
67,5,17,7,14
68,5,17,7,14
69,5,17,7,14
70,5,17,7,15
71,5,17,7,15
72,5,17,7,15
73,6,17,7,15
74,6,18,8,16
75,6,18,8,16
76,6,18,8,16
77,6,18,8,16
78,6,19,8,16
79,6,20,9,16
80,6,21,9,16
81,6,21,9,16
82,6,21,9,16
83,6,21,10,16
84,7,22,10,17
85,7,22,10,17
86,7,22,10,17
87,7,22,10,17
88,7,23,10,18
89,7,23,10,18
90,7,24,10,18
91,7,24,10,18
92,7,24,10,18
93,7,24,10,18
94,7,24,10,18
95,7,24,10,18
96,7,24,10,19
97,8,25,10,19
98,8,25,10,19
99,8,25,10,19
100,8,26,10,20
101,8,26,10,20
102,8,27,10,20
103,8,27,10,21
104,8,27,10,21
105,8,28,10,21
106,8,28,11,21
107,8,28,11,21
108,9,29,11,22
109,9,29,11,22
110,9,30,11,22
111,9,31,11,22
