paragraph,an1,an2,an3,an4,an5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1,1,1,2
12,1,1,2,1,2
13,1,2,2,1,2
14,1,3,3,1,2
15,1,3,3,1,2
16,1,3,3,1,3
17,1,3,3,1,3
18,1,3,3,1,3
19,1,3,3,1,3
20,2,4,4,2,3
21,2,4,4,2,3
22,2,4,4,2,3
23,2,4,5,2,3
24,2,4,5,3,3
25,2,4,5,3,3
26,2,4,5,3,3
27,2,4,5,3,3
28,2,4,5,3,3
29,2,4,6,3,3
30,2,4,6,3,3
31,2,4,6,3,3
32,2,4,6,3,3
33,2,4,6,3,3
34,2,4,6,3,3
35,2,5,6,3,3
36,3,5,7,3,4
37,3,5,7,3,4
38,3,5,7,3,4
39,3,5,7,3,4
40,3,5,7,3,4
41,3,5,7,3,4
42,3,5,7,3,4
43,3,5,7,3,4
44,3,5,7,3,4
45,3,5,7,3,4
46,3,5,7,3,4
47,3,5,7,3,4
48,3,5,8,3,4
49,3,5,8,3,4
50,3,6,8,3,4
51,3,6,8,3,4
52,3,6,8,3,4
53,3,7,9,3,4
54,4,7,9,3,4
55,4,7,10,3,4
56,4,7,10,3,4
57,4,7,10,3,4
58,4,7,10,3,4
59,4,7,10,3,4
